,floor_1,floor_2
0,22.220000000000002,22.220000000000002
1,22.219999999999985,22.219999999999988
2,22.219999999999985,22.219999999999988
3,22.220000000000002,22.21999999999997
4,22.22,22.219999999999974
5,22.22,22.21999999999998
6,22.21999999999998,22.21999999999999
7,22.22,22.22000000000001
8,22.220000000000006,22.220000000000002
9,22.22,22.21999999999996
10,22.220000000000002,22.219999999999974
11,22.22,22.219999999999988
12,22.22,22.220000000000013
13,22.220000000000002,22.219999999999988
14,22.219999999999995,22.21999999999998
15,22.22,22.219999999999988
16,22.22,22.220000000000013
17,22.220000000000006,22.22
18,22.22,22.219999999999974
19,22.22,22.21999999999999
20,22.22000000000001,22.219999999999974
21,22.21999999999999,22.22
22,22.21999999999999,22.219999999999988
23,22.21999999999999,22.21999999999999
24,22.219999999999988,22.220000000000038
25,22.219999999999995,22.22000000000002
26,22.220000000000002,22.22
27,22.219999999999988,22.22
28,22.220000000000006,22.22000000000001
29,22.220000000000002,22.220000000000006
30,22.220000000000002,22.22000000000001
31,22.219999999999988,22.219999999999988
32,22.22000000000001,22.219999999999988
33,22.22,22.21999999999998
34,22.22,22.220000000000006
35,22.220000000000002,22.21999999999999
36,22.22,22.22
37,22.22,22.22
38,22.22,22.22
39,22.219999999999995,22.220000000000013
40,22.22,22.21999999999999
41,22.220000000000002,22.21999999999998
42,22.22,22.219999999999988
43,22.22,22.21999999999997
44,22.219999999999995,22.21999999999998
45,22.22,22.220000000000013
46,22.21999999999999,22.22000000000001
47,22.220000000000002,22.220000000000013
48,22.219999999999985,22.22
49,22.220000000000002,22.22
50,22.21999999999999,22.22000000000001
51,22.220000000000002,22.219999999999995
52,22.22000000000001,22.219999999999985
53,22.219999999999995,22.21999999999999
54,22.220000000000002,22.21999999999998
55,22.21999999999999,22.220000000000002
56,22.219999999999995,22.22000000000001
57,22.220000000000002,22.22
58,22.219999999999995,22.220000000000006
59,22.22,22.22
60,22.22,22.21999999999996
61,22.219999999999995,22.220000000000027
62,22.219999999999995,22.219999999999988
63,22.22,22.21999999999998
64,22.219999999999995,22.220000000000006
65,22.22,22.219999999999988
66,22.22,22.22000000000002
67,22.219999999999988,22.22
68,22.219999999999995,22.220000000000013
69,22.22,22.219999999999988
70,22.220000000000002,22.22000000000002
71,22.220000000000017,22.219999999999988
72,22.219999999999995,22.219999999999988
73,22.22000000000001,22.22
74,22.21999999999999,22.22000000000001
75,22.220000000000006,22.220000000000013
76,22.21999999999999,22.22000000000001
77,22.21999999999999,22.22000000000002
78,22.21999999999998,22.22
79,22.219999999999995,22.219999999999978
80,22.219999999999995,22.22
81,22.22,22.219999999999985
82,22.220000000000002,22.219999999999988
83,22.22,22.22
84,22.219999999999988,22.21999999999998
85,22.219999999999995,22.22
86,22.21999999999998,22.220000000000002
87,22.220000000000006,22.22000000000002
88,22.219999999999995,22.220000000000002
89,22.219999999999995,22.219999999999985
90,22.21999999999998,22.219999999999988
91,22.22000000000001,22.220000000000027
92,22.21999999999999,22.220000000000027
93,22.220000000000002,22.220000000000013
94,22.220000000000013,22.22
95,22.219999999999995,22.22
96,22.220000000000006,22.21999999999999
97,22.220000000000006,22.219999999999995
98,22.22,22.220000000000002
99,22.220000000000002,22.220000000000002
100,22.22000000000001,22.21999999999999
101,22.220000000000006,22.220000000000013
102,22.219999999999985,22.220000000000002
103,22.21999999999998,22.220000000000038
104,22.21999999999999,22.22
105,22.219999999999995,22.219999999999988
106,22.22,22.22
107,22.220000000000013,22.21999999999998
108,22.22,22.219999999999988
109,22.220000000000013,22.22
110,22.22000000000001,22.22
111,22.21999999999999,22.22
112,22.21999999999999,22.22
113,22.220000000000006,22.22
114,22.219999999999974,22.22
115,22.220000000000002,22.220000000000013
116,22.219999999999988,22.22
117,22.21999999999998,22.220000000000002
118,22.219999999999995,22.220000000000006
119,22.220000000000002,22.220000000000038
120,22.22000000000001,22.219999999999974
121,22.22000000000002,22.219999999999988
122,22.220000000000013,22.219999999999974
123,22.219999999999995,22.219999999999988
124,22.219999999999995,22.219999999999988
125,22.219999999999988,22.219999999999995
126,22.220000000000002,22.21999999999998
127,22.220000000000002,22.219999999999988
128,22.21999999999999,22.220000000000013
129,22.220000000000002,22.21999999999999
130,22.220000000000013,22.22
131,22.21999999999999,22.22000000000002
132,22.22,22.22000000000002
133,22.220000000000006,22.220000000000024
134,22.22,22.220000000000006
135,22.220000000000002,22.220000000000027
136,22.219999999999995,22.21999999999999
137,22.219999999999995,22.22000000000001
138,22.21999999999999,22.219999999999988
139,22.219999999999995,22.220000000000013
140,22.22,22.219999999999988
141,22.219999999999978,22.220000000000013
142,22.220000000000013,22.22
143,22.22,22.219999999999988
144,22.220000000000013,22.21999999999998
145,22.219999999999995,22.219999999999985
146,22.220000000000002,22.22000000000001
147,22.220000000000006,22.21999999999998
148,22.22000000000001,22.220000000000013
149,22.220000000000017,22.219999999999963
150,22.22,22.22000000000001
151,22.22,22.219999999999963
152,22.220000000000013,22.219999999999963
153,22.219999999999995,22.219999999999995
154,22.220000000000013,22.220000000000006
155,22.22,22.22
156,22.219999999999988,22.219999999999974
157,22.219999999999995,22.22000000000002
158,22.22,22.22
159,22.22,22.219999999999988
160,22.22000000000001,22.22
161,22.22,22.219999999999988
162,22.219999999999995,22.22
163,22.220000000000006,22.22000000000003
164,22.220000000000002,22.21999999999998
165,22.22,22.219999999999985
166,22.220000000000002,22.22
167,22.219999999999995,22.220000000000027
168,22.220000000000002,22.220000000000013
169,22.21999999999999,22.22
170,22.220000000000002,22.22
171,22.219999999999988,22.220000000000006
