,floor_1_perimeter,floor_1_core,floor_2_perimeter,floor_2_core,floor_3_perimeter,floor_3_core,floor_1_plenum,floor_2_plenum,floor_3_plenum
1547,23.20282118939984,23.189516529131087,23.2196876860081,23.223091639822513,23.22142868734076,23.227345706931043,18.057729641796026,17.62310969547737,14.988866875428604
1548,23.131879321790702,23.043205033724774,23.148869683680584,23.078246086863352,23.157161010253677,23.094516587984522,18.405833432401867,18.009182751027346,15.588772536882827
1549,23.7691751638317,23.22821631994046,23.243628201996795,23.17547687604475,23.21697612590165,23.195628147022752,18.715067993595852,18.353510553918685,16.050387090316356
1550,24.032969460944738,23.51935032980249,23.508798619645304,23.14875316617337,23.13793370111478,23.165185323513455,19.000469967769398,18.664774007588232,16.330514261237937
1551,23.996669095574,23.78793935304469,23.422235715018395,23.12755934470699,23.016524112788474,23.126154866498233,19.27263619311056,18.93172758098883,16.54375351331244
1552,23.389614223448817,24.00325517964071,22.946245548405226,23.11759457081095,22.859488645454174,23.099240659899245,19.478717868494517,19.136994335778134,16.50141768743406
1553,22.675134668048074,23.04234387362111,22.582137009697842,22.7945537435303,22.558659924092083,22.792052197532932,19.54535030746745,19.22418186342992,16.322373458895573
1554,22.665737191360936,22.824520807487016,22.673301200892304,22.790580763479724,22.662449258179223,22.784574525406146,19.537413532827205,19.234804140533527,16.22727384074175
1555,22.80365296016423,22.90027881651626,22.82500512194454,22.917208522273356,22.819605675863418,22.912086581925003,19.55155639511367,19.26946225237751,16.178222872119214
1556,22.876219655778808,22.939051036104008,22.893240964101633,22.963457918328096,22.89009344780699,22.95941572132735,19.608709739090813,19.34867904182698,16.162588729633125
1557,19.597439213075813,22.202693824458027,19.333063831421562,21.800134280130106,18.84054912793541,21.159607210540578,19.64856235866702,19.409920723569293,16.096830843955527
1558,18.371075198627903,21.40083802328356,18.004679014523166,20.872921371067783,17.291360632690402,19.96349217979301,19.298293432321014,18.9789770764832,16.010345958308417
1559,17.70924473965084,20.914869883569285,17.301272567692347,20.3400106748375,16.523660272555496,19.352478851809497,18.971358693881427,18.585221590702997,15.871178525604194
