,year,month,day,hour,outdoor_temperature,heat_transfer_window ,heat_transfer_wall,heat_transfer_infiltration,heat_transfer_natural_vent,heating_load,cooling_load,lighting_energy,equipment_energy,heat_energy,cool_energy,DHW_energy,pump_energy,fan_energy,total_electricity,total_gas,SWH_production,PV_production,wind_production,occupants
0,1983,1,1,1,8.0,-3167947.5869606584,-5552096.621128098,13968945.417599998,0.0,69300370.86549932,0.0,9653092.768800002,43422775.164,106859582.7587781,0.0,0.0,4933516.109627526,6441185.218791479,64450569.261219,106859582.7587781,0.0,0.0,0.0,0.0
1,1983,1,1,2,8.4,-3044888.6606555255,-5336425.42386758,13968945.417599998,0.0,67910661.42037244,0.0,9653092.768800002,43422775.164,104731114.28877267,0.0,0.0,4933516.109627526,6441185.218791479,64450569.261219,104731114.28877267,0.0,0.0,0.0,0.0
2,1983,1,1,3,8.7,-2385394.263551414,-4180605.602578307,13968945.417599998,0.0,66349984.90915781,0.0,9653092.768800002,43422775.164,102338355.32990485,0.0,0.0,4933516.109627526,6441185.218791479,64450569.261219,102338355.32990485,0.0,0.0,0.0,0.0
3,1983,1,1,4,8.8,-2339293.254103612,-4099809.676585321,13968945.417599998,0.0,66147062.00488728,0.0,9653092.768800002,43422775.164,102025026.96740994,0.0,0.0,4933516.109627526,6441185.218791479,64450569.261219,102025026.96740994,0.0,0.0,0.0,0.0
4,1983,1,1,5,8.8,-2339293.254103612,-4099809.676585321,13968945.417599998,0.0,66884658.02455349,0.0,9653092.768800002,43422775.164,103152297.54098684,0.0,0.0,4933516.109627526,6441185.218791479,64450569.261219,103152297.54098684,0.0,0.0,0.0,0.0
5,1983,1,1,6,8.7,-2385394.263551414,-4180605.602578307,13968945.417599998,0.0,68607388.63558015,0.0,9653092.768800002,43422775.164,105788551.21515091,0.0,0.0,4933516.109627526,6441185.218791479,64450569.261219,105788551.21515091,0.0,0.0,0.0,0.0
6,1983,1,1,7,8.4,-2347116.8380266624,-4113521.1704380177,13968945.417599998,0.0,71199998.05777583,0.0,19306185.537600003,57897033.552,109756210.55036114,0.0,2681358.134460988,4933516.109627526,6441185.218791479,88577920.41801901,112437568.68482213,0.0,0.0,0.0,26.814800861141016
7,1983,1,1,8,8.2,2077584.371225022,-2813037.3496224396,13968945.417599998,0.0,72578036.78350618,0.0,19306185.537600003,57897033.552,111861890.55932543,0.0,2681358.134460988,4933516.109627526,6441185.218791479,88577920.41801901,114543248.69378641,0.0,0.0,0.0,26.814800861141016
8,1983,1,1,9,8.3,22639032.525006555,3203927.3446926624,13968945.417599998,0.0,47888758.08772431,0.0,57918556.61279999,72371291.94,73955820.51447244,0.0,8044074.4033829635,4933516.109627526,6441185.218791479,141664549.881219,81999894.9178554,0.0,0.0,0.0,80.44440258342304
9,1983,1,1,10,8.5,45478845.9437057,9898053.180360803,13968945.417599998,0.0,29099564.284933507,0.0,57918556.61279999,72371291.94,44991747.03177632,0.0,8044074.4033829635,4933516.109627526,6441185.218791479,141664549.881219,53035821.43515928,0.0,0.0,0.0,80.44440258342304
10,1983,1,1,11,8.6,63307526.900621876,15377869.509586148,13968945.417599998,0.0,19527541.817203972,0.0,57918556.61279999,72371291.94,30222996.802712545,0.0,8044074.4033829635,4933516.109627526,6441185.218791479,141664549.881219,38267071.20609551,0.0,0.0,0.0,80.44440258342304
11,1983,1,1,12,8.0,72967603.3318417,13564832.661250398,13968945.417599998,0.0,18275916.09594854,0.0,57918556.61279999,72371291.94,28290202.040731184,0.0,8044074.4033829635,4933516.109627526,6441185.218791479,141664549.881219,36334276.44411415,0.0,0.0,0.0,80.44440258342304
12,1983,1,1,13,8.0,71823901.25375816,17768103.245054472,13968945.417599998,0.0,28326135.518242285,0.0,28959278.306399994,50659904.357999995,43790592.79664256,0.0,2681358.134460988,4933516.109627526,6441185.218791479,90993883.992819,46471950.93110354,0.0,0.0,0.0,26.814800861141016
