,year,month,day,hour,outdoor_temperature,heat_transfer_window ,heat_transfer_wall,heat_transfer_infiltration,heat_transfer_natural_vent,heating_load,cooling_load,lighting_energy,equipment_energy,heat_energy,cool_energy,DHW_energy,pump_energy,fan_energy,total_electricity,total_gas,SWH_production,PV_production,wind_production,occupants
6518,1992,9,29,15,24.0,284879654.9282132,132808295.20463489,13968945.417599998,0.0,0.0,443034905.2175188,173755669.8384,130268325.49200001,0.0,135126235.23655945,25472902.27737938,19865.96928,6573944.1732970355,445744040.7095365,25472902.27737938,0.0,0.0,0.0,254.74060818083967
6519,1992,9,29,16,24.0,214625928.26783603,88221373.59705248,13968945.417599998,0.0,0.0,421393979.2217572,173755669.8384,130268325.49200001,0.0,127929127.01286504,25472902.27737938,19865.96928,6573944.1732970355,438546932.4858421,25472902.27737938,0.0,0.0,0.0,254.74060818083967
6520,1992,9,29,17,23.0,92757289.67863974,28922599.359513596,13968945.417599998,0.0,0.0,355375411.9276759,173755669.8384,130268325.49200001,0.0,107577017.48779058,25472902.27737938,19865.96928,6573944.1732970355,418194822.9607676,25472902.27737938,0.0,0.0,0.0,254.74060818083967
6521,1992,9,29,18,20.5,-3883889.093720308,-15727847.688740522,13968945.417599998,0.0,0.0,123200558.16243477,96530927.688,72371291.94,0.0,37766655.038510405,8044074.4033829635,19865.96928,6573944.1732970355,213262684.80908746,8044074.4033829635,0.0,0.0,0.0,80.44440258342304
6522,1992,9,29,19,18.0,-11407545.045282036,-19992689.450408995,13968945.417599998,0.0,0.0,41416350.08083777,57918556.61279999,57897033.552,0.0,12810264.286010766,2681358.134460988,19865.96928,6573944.1732970355,135219664.5933878,2681358.134460988,0.0,0.0,0.0,26.814800861141016
6523,1992,9,29,20,17.0,-11261744.85329998,-19737162.25778898,13968945.417599998,0.0,0.0,31724576.760318253,57918556.61279999,57897033.552,0.0,9855341.367657293,2681358.134460988,19865.96928,6573944.1732970355,132264741.67503431,2681358.134460988,0.0,0.0,0.0,26.814800861141016
6524,1992,9,29,21,17.0,-11261744.85329998,-19737162.25778898,13968945.417599998,0.0,1789715.4055642763,16452571.087088246,38612371.07520001,57897033.552,2776003.14733943,5146027.955619093,2681358.134460988,4746489.010339925,6573944.1732970355,112975865.76645607,5457361.281800418,0.0,0.0,0.0,26.814800861141016
6525,1992,9,29,22,16.0,-11299867.809048837,-19803975.96855613,13968945.417599998,0.0,0.0,0.0,38612371.07520001,57897033.552,0.0,0.0,2681358.134460988,19865.96928,6573944.1732970355,103103214.76977704,2681358.134460988,0.0,0.0,0.0,26.814800861141016
6526,1992,9,29,23,15.0,-11168512.246914199,-19573764.213886973,13968945.417599998,0.0,0.0,0.0,9653092.768800002,57897033.552,0.0,0.0,1340679.067230494,19865.96928,6573944.1732970355,74143936.46337704,1340679.067230494,0.0,0.0,0.0,13.407400430570508
6527,1992,9,29,24,15.0,-11168512.246914199,-19573764.213886973,13968945.417599998,0.0,0.0,0.0,9653092.768800002,57897033.552,0.0,0.0,1340679.067230494,19865.96928,6573944.1732970355,74143936.46337704,1340679.067230494,0.0,0.0,0.0,13.407400430570508
6528,1992,9,30,1,15.0,-11348155.074550796,-19888603.493563294,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6529,1992,9,30,2,15.0,-11348155.074550796,-19888603.493563294,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6530,1992,9,30,3,15.0,-11348155.074550796,-19888603.493563294,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6531,1992,9,30,4,14.0,-11589066.60794675,-20310821.372439805,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6532,1992,9,30,5,15.0,-11348155.074550796,-19888603.493563294,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6533,1992,9,30,6,15.0,-7670952.444813601,-14362726.842879932,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6534,1992,9,30,7,16.0,9927892.349884242,-6382556.647898633,13968945.417599998,0.0,0.0,0.0,19306185.537600003,57897033.552,0.0,0.0,2681358.134460988,19865.96928,6573944.1732970355,83797029.23217703,2681358.134460988,0.0,0.0,0.0,26.814800861141016
6535,1992,9,30,8,19.0,75347904.29227273,18897496.732516564,13968945.417599998,0.0,0.0,0.0,19306185.537600003,57897033.552,0.0,0.0,2681358.134460988,19865.96928,6573944.1732970355,83797029.23217703,2681358.134460988,0.0,0.0,0.0,26.814800861141016
6536,1992,9,30,9,21.0,202261113.3710846,54730332.990010366,13968945.417599998,0.0,0.0,0.0,57918556.61279999,72371291.94,0.0,0.0,8044074.4033829635,19865.96928,6573944.1732970355,136883658.69537702,8044074.4033829635,0.0,0.0,0.0,80.44440258342304
6537,1992,9,30,10,23.0,291301706.10760117,88580893.94590108,13968945.417599998,0.0,0.0,0.0,57918556.61279999,72371291.94,0.0,0.0,8044074.4033829635,19865.96928,6573944.1732970355,136883658.69537702,8044074.4033829635,0.0,0.0,0.0,80.44440258342304
6538,1992,9,30,11,24.0,306709321.8538389,104676976.87024511,13968945.417599998,0.0,0.0,0.0,57918556.61279999,72371291.94,0.0,0.0,8044074.4033829635,19865.96928,6573944.1732970355,136883658.69537702,8044074.4033829635,0.0,0.0,0.0,80.44440258342304
6539,1992,9,30,12,24.0,311760592.7962953,104177384.16303611,13968945.417599998,0.0,0.0,0.0,57918556.61279999,72371291.94,0.0,0.0,8044074.4033829635,19865.96928,6573944.1732970355,136883658.69537702,8044074.4033829635,0.0,0.0,0.0,80.44440258342304
6540,1992,9,30,13,25.0,326130561.5477569,82877864.59272009,13968945.417599998,0.0,0.0,0.0,28959278.306399994,50659904.357999995,0.0,0.0,2681358.134460988,19865.96928,6573944.1732970355,86212992.80697702,2681358.134460988,0.0,0.0,0.0,26.814800861141016
6541,1992,9,30,14,25.0,314688788.72501296,101933952.17873114,13968945.417599998,0.0,0.0,2700492.32772795,28959278.306399994,50659904.357999995,0.0,849795.3905886159,2681358.134460988,19865.96928,6573944.1732970355,87062788.19756563,2681358.134460988,0.0,0.0,0.0,26.814800861141016
6542,1992,9,30,15,24.0,281621571.022113,87199901.49650909,13968945.417599998,0.0,0.0,0.0,28959278.306399994,50659904.357999995,0.0,0.0,2681358.134460988,19865.96928,6573944.1732970355,86212992.80697702,2681358.134460988,0.0,0.0,0.0,26.814800861141016
6543,1992,9,30,16,24.0,213875360.39282453,58316028.730142295,13968945.417599998,0.0,0.0,0.0,28959278.306399994,50659904.357999995,0.0,0.0,2681358.134460988,19865.96928,6573944.1732970355,86212992.80697702,2681358.134460988,0.0,0.0,0.0,26.814800861141016
6544,1992,9,30,17,23.0,93532851.62209257,18948999.063837215,13968945.417599998,0.0,0.0,0.0,28959278.306399994,50659904.357999995,0.0,0.0,2681358.134460988,19865.96928,6573944.1732970355,86212992.80697702,2681358.134460988,0.0,0.0,0.0,26.814800861141016
6545,1992,9,30,18,21.0,1521133.7520670188,-7557648.075160664,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,1340679.067230494,19865.96928,6573944.1732970355,59669678.075377025,1340679.067230494,0.0,0.0,0.0,13.407400430570508
6546,1992,9,30,19,20.8,-5518291.354953806,-9671273.259805959,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,1340679.067230494,19865.96928,6573944.1732970355,59669678.075377025,1340679.067230494,0.0,0.0,0.0,13.407400430570508
6547,1992,9,30,20,20.5,-5560042.047669234,-9744444.887047898,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6548,1992,9,30,21,20.0,-5517935.334084236,-9670649.303060234,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6549,1992,9,30,22,19.6,-5518847.800012743,-9672248.476928959,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6550,1992,9,30,23,19.3,-5477290.082817307,-9599415.055639958,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6551,1992,9,30,24,19.2,-5520497.042556797,-9675138.914256252,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6552,1990,10,1,1,19.1,-1773129.0010672584,-3107558.842251775,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6553,1990,10,1,2,19.2,-2448751.553423009,-4291644.62243703,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6554,1990,10,1,3,19.1,-6302727.9534270875,-11046064.877507936,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6555,1990,10,1,4,19.0,-8014065.673743557,-14045329.263600238,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6556,1990,10,1,5,18.7,-9766812.887448061,-17117167.296197496,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6557,1990,10,1,6,18.3,-7918897.734621305,-13878539.385063352,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6558,1990,10,1,7,19.0,2218140.3355576494,-5827320.772871636,13968945.417599998,0.0,0.0,0.0,19306185.537600003,57897033.552,0.0,0.0,2681358.134460988,19865.96928,6573944.1732970355,83797029.23217703,2681358.134460988,0.0,0.0,0.0,26.814800861141016
6559,1990,10,1,8,20.9,34630835.61624022,18151584.586154234,13968945.417599998,0.0,0.0,0.0,19306185.537600003,57897033.552,0.0,0.0,2681358.134460988,19865.96928,6573944.1732970355,83797029.23217703,2681358.134460988,0.0,0.0,0.0,26.814800861141016
6560,1990,10,1,9,21.0,130403870.03985253,46289731.1485628,13968945.417599998,0.0,0.0,0.0,57918556.61279999,72371291.94,0.0,0.0,8044074.4033829635,19865.96928,6573944.1732970355,136883658.69537702,8044074.4033829635,0.0,0.0,0.0,80.44440258342304
6561,1990,10,1,10,22.0,235308088.12487227,70048383.26688862,13968945.417599998,0.0,0.0,0.0,57918556.61279999,72371291.94,0.0,0.0,8044074.4033829635,19865.96928,6573944.1732970355,136883658.69537702,8044074.4033829635,0.0,0.0,0.0,80.44440258342304
6562,1990,10,1,11,23.6,288826246.99954563,186469928.1702316,13968945.417599998,0.0,0.0,0.0,57918556.61279999,72371291.94,0.0,0.0,8044074.4033829635,19865.96928,6573944.1732970355,136883658.69537702,8044074.4033829635,0.0,0.0,0.0,80.44440258342304
6563,1990,10,1,12,24.0,322189178.7272967,108328926.24969646,13968945.417599998,0.0,0.0,14878654.19533449,57918556.61279999,72371291.94,0.0,4660479.841560502,8044074.4033829635,19865.96928,6573944.1732970355,141544138.53693753,8044074.4033829635,0.0,0.0,0.0,80.44440258342304
6564,1990,10,1,13,24.9,325814720.31910366,111893960.00422835,13968945.417599998,0.0,0.0,24832011.14116136,28959278.306399994,50659904.357999995,0.0,7758103.090926331,2681358.134460988,19865.96928,6573944.1732970355,93971095.89790335,2681358.134460988,0.0,0.0,0.0,26.814800861141016
6565,1990,10,1,14,25.8,313869064.1588081,159175187.3104036,13968945.417599998,0.0,0.0,49866995.880247965,28959278.306399994,50659904.357999995,0.0,15459212.387248376,2681358.134460988,19865.96928,6573944.1732970355,101672205.1942254,2681358.134460988,0.0,0.0,0.0,26.814800861141016
6566,1990,10,1,15,25.4,276405670.785295,126732388.13702121,13968945.417599998,0.0,0.0,43437565.108967185,28959278.306399994,50659904.357999995,0.0,13489668.09551942,2681358.134460988,19865.96928,6573944.1732970355,99702660.90249644,2681358.134460988,0.0,0.0,0.0,26.814800861141016
6567,1990,10,1,16,25.0,170084938.96429366,59443353.260051295,13968945.417599998,0.0,0.0,4504309.1062169,28959278.306399994,50659904.357999995,0.0,1418420.050828431,2681358.134460988,19865.96928,6573944.1732970355,87631412.85780545,2681358.134460988,0.0,0.0,0.0,26.814800861141016
6568,1990,10,1,17,23.5,48873540.91340439,11902886.796830682,13968945.417599998,0.0,0.0,0.0,28959278.306399994,50659904.357999995,0.0,0.0,2681358.134460988,19865.96928,6573944.1732970355,86212992.80697702,2681358.134460988,0.0,0.0,0.0,26.814800861141016
6569,1990,10,1,18,23.0,1048093.2453922434,-3538640.2457116554,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,1340679.067230494,19865.96928,6573944.1732970355,59669678.075377025,1340679.067230494,0.0,0.0,0.0,13.407400430570508
6570,1990,10,1,19,23.0,-3922353.4613041664,-6874256.849770101,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,1340679.067230494,19865.96928,6573944.1732970355,59669678.075377025,1340679.067230494,0.0,0.0,0.0,13.407400430570508
6571,1990,10,1,20,22.5,-7370129.7848985195,-12916777.046576437,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6572,1990,10,1,21,21.0,-4770356.732971544,-8360454.449348155,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6573,1990,10,1,22,21.2,-6171759.8860897245,-10816532.24031015,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6574,1990,10,1,23,21.4,-9879031.673943086,-17313840.22976831,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6575,1990,10,1,24,21.3,-8163478.097427087,-14307187.198403936,13968945.417599998,0.0,0.0,0.0,9653092.768800002,43422775.164,0.0,0.0,0.0,19865.96928,6573944.1732970355,59669678.075377025,0.0,0.0,0.0,0.0,0.0
6576,1990,10,2,1,21.1,-4915686.598358531,-8615157.354751404,13968945.417599998,0.0,0.0,0.0,9653092.768800002,57897033.552,0.0,0.0,0.0,19865.96928,6573944.1732970355,74143936.46337704,0.0,0.0,0.0,0.0,0.0
6577,1990,10,2,2,21.0,-2062575.2877043611,-3614837.989372302,13968945.417599998,0.0,0.0,0.0,9653092.768800002,57897033.552,0.0,0.0,0.0,19865.96928,6573944.1732970355,74143936.46337704,0.0,0.0,0.0,0.0,0.0
6578,1990,10,2,3,20.0,-1475048.9545770555,-2585148.299300921,13968945.417599998,0.0,0.0,0.0,9653092.768800002,57897033.552,0.0,0.0,0.0,19865.96928,6573944.1732970355,74143936.46337704,0.0,0.0,0.0,0.0,0.0
6579,1990,10,2,4,19.0,-3109654.208751402,-5449932.535610425,13968945.417599998,0.0,0.0,0.0,9653092.768800002,57897033.552,0.0,0.0,0.0,19865.96928,6573944.1732970355,74143936.46337704,0.0,0.0,0.0,0.0,0.0
6580,1990,10,2,5,20.5,-3473945.4273531754,-6088383.768904352,13968945.417599998,0.0,0.0,0.0,9653092.768800002,57897033.552,0.0,0.0,0.0,19865.96928,6573944.1732970355,74143936.46337704,0.0,0.0,0.0,0.0,0.0
6581,1990,10,2,6,19.7,-4763460.714301031,-8348368.592209173,13968945.417599998,0.0,0.0,0.0,19306185.537600003,57897033.552,0.0,0.0,0.0,19865.96928,6573944.1732970355,83797029.23217703,0.0,0.0,0.0,0.0,0.0
6582,1990,10,2,7,19.0,16928780.217022456,-972489.3531133312,13968945.417599998,0.0,0.0,0.0,19306185.537600003,57897033.552,0.0,0.0,2681358.134460988,19865.96928,6573944.1732970355,83797029.23217703,2681358.134460988,0.0,0.0,0.0,26.814800861141016
6583,1990,10,2,8,21.0,84072318.33896291,22457647.481015526,13968945.417599998,0.0,0.0,149868336.04609346,57918556.61279999,57897033.552,0.0,45811088.95461594,5362716.268921976,19865.96928,6573944.1732970355,168220489.261993,5362716.268921976,0.0,0.0,0.0,53.62960172228203
6584,1990,10,2,9,21.0,129343616.59159541,32269420.350865405,13968945.417599998,0.0,0.0,356694805.1238395,173755669.8384,130268325.49200001,0.0,108881705.31316255,25472902.27737938,19865.96928,6573944.1732970355,419499510.7861396,25472902.27737938,0.0,0.0,0.0,254.74060818083967
6585,1990,10,2,10,22.0,132447401.79703617,33535087.7767158,13968945.417599998,0.0,0.0,371217530.8350253,173755669.8384,130268325.49200001,0.0,113167234.18611953,25472902.27737938,19865.96928,6573944.1732970355,423785039.6590966,25472902.27737938,0.0,0.0,0.0,254.74060818083967
6586,1990,10,2,11,22.5,98508714.46747087,23231167.932866547,13968945.417599998,0.0,0.0,365567319.8885502,173755669.8384,130268325.49200001,0.0,111507137.88437061,25472902.27737938,19865.96928,6573944.1732970355,422124943.35734767,25472902.27737938,0.0,0.0,0.0,254.74060818083967
6587,1990,10,2,12,22.0,164095336.19737267,43815170.60606608,13968945.417599998,0.0,0.0,389247095.55911434,173755669.8384,130268325.49200001,0.0,118444983.29784709,25472902.27737938,19865.96928,6573944.1732970355,429062788.77082413,25472902.27737938,0.0,0.0,0.0,254.74060818083967
6588,1990,10,2,13,22.0,213105580.96403128,58873943.58942889,13968945.417599998,0.0,0.0,366567264.67015743,173755669.8384,115794067.104,0.0,110708310.24394822,13406790.672304938,19865.96928,6573944.1732970355,406851857.32892525,13406790.672304938,0.0,0.0,0.0,134.07400430570507
6589,1990,10,2,14,22.8,228039082.52325058,63404218.40295635,13968945.417599998,0.0,0.0,434608997.95744914,173755669.8384,130268325.49200001,0.0,132281158.45738521,25472902.27737938,19865.96928,6573944.1732970355,442898963.9303622,25472902.27737938,0.0,0.0,0.0,254.74060818083967
6590,1990,10,2,15,22.0,154557618.71359122,39709160.5071302,13968945.417599998,0.0,0.0,396055555.4839534,173755669.8384,130268325.49200001,0.0,120403599.2822547,25472902.27737938,19865.96928,6573944.1732970355,431021404.75523174,25472902.27737938,0.0,0.0,0.0,254.74060818083967
