,year,month,day,hour,outdoor_temperature,heat_transfer_window ,heat_transfer_wall,heat_transfer_infiltration,heat_transfer_natural_vent,heating_load,cooling_load,lighting_energy,equipment_energy,heat_energy,cool_energy,DHW_energy,pump_energy,fan_energy,total_electricity,total_gas,SWH_production,PV_production,wind_production,occupants
1657,1991,3,11,2,-0.7,-287601.49227229616,-2660372.4377338914,669119.9999999999,0.0,43435364.14948175,0.0,200736.0,1570959.936,55969356.36067706,0.0,11199688.546230623,428543.0897371215,551228.4829663817,2751467.5087035033,67169044.9069077,0.0,0.0,0.0,4.4608
1658,1991,3,11,3,-1.0,-412036.92306349776,-3811425.5415927144,669119.9999999999,0.0,45001481.04852718,0.0,200736.0,1570959.936,57932388.01762332,0.0,11199688.546230623,428543.0897371215,551228.4829663817,2751467.5087035033,69132076.56385395,0.0,0.0,0.0,4.4608
1659,1991,3,11,4,-1.1,-409863.5713834977,-3791321.5954647143,669119.9999999999,0.0,45225894.77515793,0.0,200736.0,1570959.936,58213123.73054251,0.0,11199688.546230623,428543.0897371215,551228.4829663817,2751467.5087035033,69412812.27677314,0.0,0.0,0.0,4.4608
1660,1991,3,11,5,-1.0,-309027.69229762326,-2858569.1561945365,669119.9999999999,0.0,45304832.3233259,0.0,200736.0,1570959.936,58312289.47558755,0.0,11199688.546230623,428543.0897371215,551228.4829663817,2751467.5087035033,69511978.02181818,0.0,0.0,0.0,4.4608
1661,1991,3,11,6,-2.1,-313418.82850096317,-2899188.0613100925,669119.9999999999,0.0,47094143.08830782,0.0,200736.0,1570959.936,60549832.58365534,0.0,11199688.546230623,428543.0897371215,551228.4829663817,2751467.5087035033,71749521.12988597,0.0,0.0,0.0,4.4608
1662,1991,3,11,7,-2.1,1210124.7538860433,-2092049.8640236962,669119.9999999999,0.0,45971701.76013573,0.0,200736.0,1570959.936,59146416.33873867,0.0,11199688.546230623,428543.0897371215,551228.4829663817,2751467.5087035033,70346104.8849693,0.0,0.0,0.0,4.4608
1663,1991,3,11,8,-2.1,7852280.543432066,3380661.279645104,669119.9999999999,0.0,41787531.07944181,0.0,863164.7999999999,2019203.424,53899325.93690683,0.0,9890444.955176264,428543.0897371215,551228.4829663817,3862139.796703503,63789770.89208309,0.0,0.0,0.0,3.93933248
1664,1991,3,11,9,-1.6,11489624.353071466,9705872.273104606,669119.9999999999,0.0,38258938.574881606,0.0,379391.04000000004,1705854.528,49455111.66798487,0.0,4576304.736875295,428543.0897371215,551228.4829663817,3065017.140703503,54031416.40486017,0.0,0.0,0.0,1.8227274879999997
1665,1991,3,11,10,-0.5,11281158.125726722,8563308.101871204,669119.9999999999,0.0,34740312.320080824,0.0,258748.704,1487212.8768,45000736.557708025,0.0,2709092.6624477254,428543.0897371215,551228.4829663817,2725733.153503503,47709829.22015575,0.0,0.0,0.0,1.079022912
1666,1991,3,11,11,0.6,12239923.243754402,11894495.260711093,669119.9999999999,0.0,30689589.44374332,0.0,258748.704,1487212.8768,39789623.76859878,0.0,2709092.6624477254,428543.0897371215,551228.4829663817,2725733.153503503,42498716.43104651,0.0,0.0,0.0,1.079022912
1667,1991,3,11,12,1.7,11039883.292363767,20364869.140406072,669119.9999999999,0.0,25404379.46514676,0.0,258748.704,1487212.8768,32937250.687105045,0.0,2709092.6624477254,428543.0897371215,551228.4829663817,2725733.153503503,35646343.34955277,0.0,0.0,0.0,1.079022912
1668,1991,3,11,13,3.3,12533012.37287719,20814942.599347815,669119.9999999999,0.0,20702413.29388341,0.0,258748.704,1487212.8768,26841064.0544947,0.0,2709092.6624477254,428543.0897371215,551228.4829663817,2725733.153503503,29550156.716942426,0.0,0.0,0.0,1.079022912
1669,1991,3,11,14,3.3,13636360.649134988,19719520.98246195,669119.9999999999,0.0,19361114.749951184,0.0,258748.704,1487212.8768,25102045.5341504,0.0,2709092.6624477254,428543.0897371215,551228.4829663817,2725733.153503503,27811138.196598124,0.0,0.0,0.0,1.079022912
1670,1991,3,11,15,4.4,13656619.082136372,16536108.260813309,669119.9999999999,0.0,17033606.38509532,0.0,258748.704,1487212.8768,22084387.630135596,0.0,2709092.6624477254,428543.0897371215,551228.4829663817,2725733.153503503,24793480.29258332,0.0,0.0,0.0,1.079022912
1671,1991,3,11,16,5.0,12146217.726441853,11684950.677426698,669119.9999999999,0.0,18408038.37216776,0.0,258748.704,1487212.8768,23866364.276039835,0.0,2709092.6624477254,428543.0897371215,551228.4829663817,2725733.153503503,26575456.93848756,0.0,0.0,0.0,1.079022912
1672,1991,3,11,17,3.3,8856074.549581846,5573129.8431016095,669119.9999999999,0.0,22769888.126778677,0.0,965941.6320000001,1995315.8399999999,29521583.64576348,0.0,3303684.1273671095,428543.0897371215,551228.4829663817,3941029.044703503,32825267.77313059,0.0,0.0,0.0,1.315846784
